"","data.INSTNM","data.TUITFTE","value"
"390","Laguna College of Art and Design","13493",0.0347204493234618
"391","Lake Tahoe Community College","611",0.199029126213592
"392","Lancaster Beauty School","5409",0.575471698113208
"393","Laney College","497",0.0208416833667335
"394","Lassen Community College","638",0.398148148148148
"395","Life Chiropractic College West","20428",0.103891125167721
"396","Lincoln University","15693",0.222267703643062
"397","Southern California Seminary","9557",0.152871621621622
"398","La Sierra University","21041",0.0591992139523459
"399","Loma Linda University","38994",0.135444385311336
"400","Long Beach City College","543",0.335839598997494
"401","Southern California University of Health Sciences","9730",0.19413657490168
"402","Los Angeles Harbor College","593",0.181127982646421
"403","Los Angeles Pierce College","573",0.188950276243094
"404","Los Angeles Southwest College","223",0.0246628131021195
"405","Los Angeles Trade Technical College","266",0.0237821250479478
"406","Los Angeles Valley College","434",0.188794153471376
"407","The Master's College and Seminary","11281",0.0499223430219658
"408","Los Angeles City College","559",4.44444444444444
"409","Los Angeles County College of Nursing and Allied Health","2831",0.163551401869159
"410","Los Angeles Mission College","399",0.115876598946576
"411","Los Medanos College","501",0.533333333333333
"412","Argosy University-The Art Institute of California-San Francisco","16314",0.0697827518104016
"413","Loyola Marymount University","25745",0.0687885010266941
"414","Lu Ross Academy","3266",0.193019943019943
"415","Manchester Beauty College","6000",0.0127002735443533
"416","Tulare Beauty College","4379",1.75161290322581
"417","Lyles Bakersfield College of Beauty","3951",0.038662486938349
"418","Lyles Fresno College of Beauty","6779",0.038662486938349
"419","Lytles Redwood Empire Beauty College Inc","5723",0.0298461538461538
"420","MTI Business College Inc","1232",0.0246335504885993
"421","MTI College","8912",0.0907900480139677
"422","Brightwood College-Sacramento","1157",2.52173913043478
"423","Brightwood College-San Diego","2364",0.107974910394265
"424","Brightwood College-Vista","2718",0.111842105263158
"425","College of Marin","108",0.0360604885614579
"426","Marinello Schools of Beauty-Los Angeles","4234",0.216326530612245
"427","Marymount California University","21844",0.0433569979716024
"428","Mendocino College","455",0.417808219178082
"429","Menlo College","17517",0.0652997548473367
"430","Mennonite Brethren Biblical Seminary","7149",0.104082806210466
"431","Merced College","449",0.128735632183908
"432","Merritt College","592",0.0327440739252712
"433","Mills College","19418",0.0649315068493151
"434","MiraCosta College","565",0.0868628858578607
"435","Marinello Schools of Beauty-San Francisco","20165",0.0917525773195876
"436","Mission College","653",0.348314606741573
"437","Modern Beauty Academy","2029",0.119298245614035
"438","Brightwood College-North Hollywood","1185",0.145476049674749
"439","Modesto Junior College","560",0.192424242424242
"440","Moler Barber College","5261",0.28149300155521
"441","Middlebury Institute of International Studies at Monterey","15989",0.065625
"442","Monterey Peninsula College","710",0.13296178343949
"443","Moorpark College","591",0.107780979827089
"444","Mt San Antonio College","747",0.0961420698101653
"445","Mount Saint Mary's University","17746",0.103701687534023
"446","Mt San Jacinto Community College District","483",0.0990415335463259
"447","Mueller College","7719",0.264105058365759
"448","Musicians Institute","18613",0.0372047880944678
"449","Napa Valley College","698",0.176170212765957
"450","Everest College-San Francisco","9780",0.035152258328224
"451","Everest College-Reseda","15843",0.270181219110379
"452","Everest College-LA Wilshire","12327",0.0290858725761773
"453","Everest College-San Jose","13010",0.177981651376147
"454","Everest College-Gardena","12807",2.13333333333333
"455","Everest College-Alhambra","11954",0.80225988700565
"456","Everest College-San Bernardino","12042",0.655844155844156
"457","The National Hispanic University","6771",0.0853167337971439
"458","National Holistic Institute","10653",0.100338983050847
"459","National University","7119",0.118406285072952
"460","Newschool of Architecture and Design","7412",0.176527958387516
"461","Newberry School of Beauty","4017",0.0335063709296838
"462","North Adrian's College of Beauty Inc","4773",0.0997506234413965
"463","North-West College-Pomona","4454",0.108821104699093
"464","North-West College-West Covina","5483",0.141176470588235
"465","North-West College-Pasadena","4700",0.0724450194049159
"466","Notre Dame de Namur University","16166",0.0839868454338477
"467","Occidental College","22731",0.0477618333690298
"468","Oceanside College of Beauty","4971",0.185134674394818
"469","Ohlone College","950",0.304953560371517
"470","Orange Coast College","752",0.120751988430947
"471","Otis College of Art and Design","19163",0.0800220750551876
"472","Oxnard College","240",0.108333333333333
"473","Hope International University","15706",0.0594159113796576
"474","Concorde Career College-San Diego","12133",0.11961367013373
"475","Palo Alto University","23989",0.158618671349137
"476","Pacific Lutheran Theological Seminary","5234",0.103911042944785
"477","Pacific Oaks College","22848",0.0838544627629335
"478","Pacific School of Religion","8962",0.104102760736196
"479","Pacific States University","9856",0.104082806210466
"480","Pacific Union College","15899",0.0647719762062128
"481","University of the Pacific","27719",0.100091407678245
"482","Palmer College of Chiropractic-West Campus","7632",0.0490703469426874
"483","Palo Verde College","261",0.253218884120172
"484","Palomar College","782",0.104814137720902
"485","Marinello Schools of Beauty","3121",4.875
"486","Paris Beauty College","3142",25.8571428571429
"487","Pasadena City College","1009",0.114791987673344
"488","Patten University","4116",0.0395042602633617
"489","Pepperdine University","24097",0.0779033915724563
"490","Pitzer College","39325",0.0466119982736297
"491","Platt College-San Diego","9626",0.0895865237366003
"492","Point Loma Nazarene University","17230",0.0592118836393646
"493","Pomona College","19557",0.0729166666666667
"494","Porterville College","336",0.163164400494438
"495","Westwood College-South Bay","26990",0.101975780752071
"496","Professional Institute of Beauty","906",0.0507544581618656
"497","Santa Ana College","458",0.096229600450197
"498","Pardee RAND Graduate School","17825",0.103911042944785
"499","University of Redlands","15179",0.0724919093851133
"500","College of the Redwoods","884",1.47058823529412
"501","Salon Success Academy-Upland","5628",0.186726272352132
"502","Salon Success Academy-Corona","4628",0.226438698915763
"503","Marinello School of Beauty","3893",0.466437177280551
"504","Rio Hondo College","372",0.110109465550547
"505","Riverside City College","571",0.116009280742459
"506","Argosy University-San Francisco Bay Area","17839",0.135802469135802
"507","Rosemead Beauty School","40",0.0258620689655172
"508","Dongguk University-Los Angeles","8411",0.109036144578313
"509","Sacramento City College","511",0.722943722943723
